customer_id;plan_id;signup_date;termination_date;percentage_discount
C354316;PLN002;42736;;0.00
C380045;PLN005;42736;43101;0.00
C145069;PLN006;42767;43132;0.00
C252920;PLN002;42767;;0.00
C329347;PLN004;42767;43132;0.00
C342702;PLN006;42767;43132;0.00
C26694;PLN002;42795;;0.00
C346360;PLN002;42795;;0.00
C438953;PLN006;42795;43160;0.00
C188494;PLN003;42826;43191;0.00
C264218;PLN004;42826;43191;0.00
C327192;PLN004;42826;43191;0.00
C342131;PLN003;42826;43191;0.00
C353034;PLN003;42826;43191;0.00
C381185;PLN006;42826;43191;0.00
C441592;PLN001;42826;;0.07
C147333;PLN003;42856;43221;0.00
C20095;PLN002;42887;;0.00
C449050;PLN001;42917;;0.00
C456850;PLN002;42917;;0.00
C250698;PLN004;42948;43313;0.00
C45628;PLN005;42948;43313;0.00
C145191;PLN006;42979;43344;0.05
C151555;PLN005;42979;43344;0.00
C199858;PLN006;42979;43344;0.00
C361372;PLN005;42979;43344;0.00
C179414;PLN002;43009;;0.00
C196277;PLN001;43009;;0.00
C376558;PLN001;43009;;0.10
C101045;PLN005;43040;43405;0.00
C117760;PLN005;43040;43405;0.05
C290188;PLN002;43040;;0.00
C318997;PLN001;43040;;0.00
C331621;PLN003;43040;43405;0.00
C345694;PLN005;43040;43405;0.00
C123504;PLN006;43070;43435;0.00
C384560;PLN004;43070;43435;0.00
C448809;PLN002;43070;;0.00
C198732;PLN003;42748;43113;0.00
C312470;PLN005;42748;43113;0.00
C406329;PLN002;42749;;0.00
C451766;PLN006;42749;43114;0.00
C412444;PLN004;42750;43115;0.00
C114810;PLN003;42751;43116;0.00
C123809;PLN004;42751;43116;0.07
C195211;PLN003;42751;43116;0.00
C228693;PLN003;42751;43116;0.00
C285114;PLN002;42751;;0.00
C131242;PLN004;42752;43117;0.00
C170291;PLN005;42752;43117;0.05
C273527;PLN004;42752;43117;0.04
C294519;PLN003;42752;43117;0.00
C346897;PLN002;42752;;0.00
C39442;PLN001;42752;;0.00
C432840;PLN003;42752;43117;0.00
C109216;PLN001;42753;;0.00
C132018;PLN006;42753;43118;0.00
C41119;PLN001;42753;;0.00
C421085;PLN006;42753;43118;0.00
C446060;PLN001;42753;;0.02
C124173;PLN001;42754;;0.09
C131401;PLN006;42754;43119;0.00
C270782;PLN001;42754;;0.00
C27286;PLN006;42754;43119;0.05
C33443;PLN006;42754;43119;0.00
C349843;PLN006;42754;43119;0.01
C368597;PLN003;42754;43119;0.10
C182356;PLN002;42755;;0.00
C283116;PLN004;42755;43120;0.00
C391422;PLN003;42755;43120;0.00
C409265;PLN003;42755;43120;0.00
C265332;PLN006;42756;43121;0.01
C339470;PLN003;42756;43121;0.00
C420458;PLN006;42756;43121;0.00
C293678;PLN003;42757;43122;0.00
C431751;PLN001;42757;;0.02
C181191;PLN004;42758;43123;0.00
